Feature,Importance,Importance Std
sleep_quality,1.075368907444902,0.01543134036663339
consistency_score,0.9433199881873309,0.006711560879656403
fitness_level_Unfit,0.07710648014372339,0.0016240693225357743
activity_ratio,0.01130306830483289,0.0005347787200144549
diet_quality,0.007595075631062986,0.00013146715090162412
steps_per_day,0.007131169137532682,0.0002550472026568404
fitness_level_Moderate,0.006730559822592556,0.0002927154690665918
workouts_per_week,0.0028890423662971676,0.0001163083957252349
sleep_deficit,0.002706707495688687,0.00017145683810430236
bmi,0.0012103742802255975,6.847934687532445e-05
sleep_hours,0.0012066263417569074,0.00025353491404984615
sedentary_minutes,0.0003798628135120626,7.295578033338943e-05
active_minutes,0.0003147182013438776,0.00015811905823320374
heart_rate_resting,0.00014184464302816982,6.138293245168504e-06
hydration_liters,8.11569153741365e-05,6.004151397569416e-05
heart_rate_difference,1.8715287144884425e-05,1.8575200249357516e-05
lifestyle_category_Athlete,0.0,0.0
lifestyle_category_Sedentary,-1.5017755341147538e-06,3.935817363678769e-06
heart_rate_avg,-5.418833688171827e-06,4.552874993839573e-05
age,-1.2912349036775517e-05,5.6776818141728904e-05
